userName;score;at;content
Wachidyah Anggraini;4;15/05/2022 22.41;Keren tapi lebih keren lagi kalo ada materi juga yang diulas di aplikasinya
•Broken Home;5;15/05/2022 18.41;thank you for providing an application as cool as this
Wilan;5;15/05/2022 16.48;Aplikasinya bagus! Kita belajar bahasa seperti bermain game. Akan lebih seru lagi jika ada fitur untuk berkomunikasi dengan pengguna lain, semoga saja nanti ada fiturnya
Lizda Qurotul Aeni;5;15/05/2022 16.27;Bagus banget ,berguna buat aku
Zaky Naufal;5;15/05/2022 16.20;Hai Duolinggo dev👋👋 your app is excellent but could you add Dutch,Deutsch,Japanese,Chinese,Turkish and Arabic in Indonesian native speakers.Hope you want to add this in next update.
Rizky Ramdhani;5;15/05/2022 16.00;Tambahin fitur Ngobrol biar pd
Silvi Nurma;5;15/05/2022 15.43;Very good
Vina Utari;5;15/05/2022 15.04;Good
Santika Rahayu;3;15/05/2022 14.47;Dengan duolingo saya lebih banyak tau kosakata bahasa Inggris
Anur Mahmudin;5;15/05/2022 14.43;keren banget nih aplikasi
siti maryamah;5;15/05/2022 14.25;Keren
Wz Wandara;5;15/05/2022 14.07;Duolingo sangat bagus untuk anak² mau pun remaja yang ingin belajar sambil beredukasi. Sangat membuat saya terbantu untuk melancarkan bahasa ingris saya. Bisa juga di pakai untuk pemula yang ingin belajar dan mengenal bahasa inggris atau bahasa lainnya.
Ikha Priyani;5;15/05/2022 13.54;Karena itu lumayan ya di suruh abi saya😊
Riza Herni Astuti;5;15/05/2022 13.41;Bagus di kasih 100
Novita sari;5;15/05/2022 13.39;Thank you aplikasinya sangat bermanfaat
【Tiαrα】;5;15/05/2022 12.50;Aplikasinya bagus banget dan juga sangat menyenangkan!
neta oktaviana;5;15/05/2022 12.49;Aplikasi ini membantuku banget dalam belajar bahasa asing 😊
Mahmud Amud;5;15/05/2022 12.31;AMAMhyodgd
Rian Amani;5;15/05/2022 12.23;Terima kasih banyak sudah memfasilitasi saya belajar bahasa Inggris.
Asyifa Purnomo;5;15/05/2022 12.21;OMG!!!, BAGUS BANGET!!!🗿👍
javent pasaribu;5;15/05/2022 12.05;Sangat membantu untuk belajar Bahasa Inggris. Trimakasih Duolingo
Putu Yuliani;5;15/05/2022 12.05;Aplikasi yang sangat bagus,sedikit demi sedikit jika setiap hari diterapkan akan bisa,the best 👍🏻👍🏻
Jahwa Aja;5;15/05/2022 12.03;kata aku ke bagus sih kaya nya g daftar deh
Anggun Munisa;5;15/05/2022 12.00;Bagus bangettt aplikasinya dan sangat membantu banget untuk belajar bahasa Inggris pemula🥰
Paris Satyawan;5;15/05/2022 11.35;Siap Menuju jaksel ni bos ku
Whaajo Whaajo;5;15/05/2022 11.33;Menjadikan belajar bahasa inggris mudah dan menyenangkan
Azka Zania;5;15/05/2022 11.28;Bagus tanpa iklan jadi tambah lancae deh
Aisyah Nadia Putri;5;15/05/2022 11.17;Very good. I'm satisfied with it. I'm glad this app allows me to learn many languages at a time. Just wanna ask, how do i un-course a language? Thank you.
ajzuN Litausil arzaq;5;15/05/2022 11.10;Aplikasi ini sangat bagus,berguna dan bermanfaat
SBB official;5;15/05/2022 10.49;Sangat bagus sekali mantap sekali ya kan
Shopia Kristiana;5;15/05/2022 10.36;Mudah proses belajarnya
dira ardina;5;15/05/2022 10.21;Ini kita bisa belajar dengan hemat bgs banget jga. Serasa lagi main game 🎮
Youtube Afridzal;5;15/05/2022 09.20;Gg
Julian Devanno;5;15/05/2022 09.13;ini sangat bagus tapi saya tidak bisa belajar bahasa lain dengan bahasa indonesia
Desak Candra;5;15/05/2022 09.03;Ini sangat hebat
Romi Muhammad;5;15/05/2022 09.01;Sangat membantu belajar bahasa inggris
Cut Putri Ranti;5;15/05/2022 08.44;Sangat membantu dalam belajar berbagai bahasa✨😉
Uma Dania;5;15/05/2022 08.27;Bagus bgt
Christina Lumbanraja;5;15/05/2022 08.16;Aplikasinya bagus
Olivia Rahmasari;5;15/05/2022 08.08;"Aplikasinya bgs bgtttt, aku download ini pas udh mulai ptm sekitar bulan januari 2022. Dan disitu aku download gr"" aku gabisa b.inggris sm skli krn ak sklh hmpir 2 thn online, dn setelah memakai apk ini aku dikit"" jd bisa b.inggris. buat kalian ini yg mau belajar bahasa inggris atau lainnya ini apk ak rekomendasiin si buat klian🌹"
Octamory 2021;5;15/05/2022 08.05;Aplikasinya bagus banget untuk belajar untuk belajar bahasa Korea aku suka dan juga Inggris aku suka banget terima kasih segitu aja dadah 🥰🙏🙏
wulan tresnaa;4;15/05/2022 08.02;Belajar jadi menyenangkan !
Rikko;5;15/05/2022 07.04;Nicee, Udah gratis,mudah di pahami, lengkap cara belajarnya lope lope buat apk inii
Buatakun Google;5;15/05/2022 06.45;Seru terus disini enaknya belajar tapi gak bosen. Itu aja ▫️
Nenden Nuraeni;5;15/05/2022 06.02;⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐🌟🌠✨⭐
Mutiara Tiara;5;15/05/2022 05.40;Ap yang sangat bgs bisa belajar bahasa dan bisa cepat hafal
sanawa karnawa;5;15/05/2022 05.39;Duolingo sangat bagus, saya jadi bisa belajar sambil bermain mengasah kemampuan dan bisa belajar dari kesalahan kata dan lain lain, 👍🏻
Aulia fathiyyah Rahmah;5;15/05/2022 05.04;Aplikasi ini sangat membantu untuk belajar berbagai bahasa, di aplikasi ini kami dapat belajar bahasa dengan cara mendengar, menulis, bahkan berlatih untuk berbicara sesuai kursus yang dipilih. Duolingo memang yang terbaik ❤
AryaAchmad Alvaro;5;15/05/2022 03.11;Sangat seru banget, kayak main game
Yuri유리;5;15/05/2022 03.09;Good
Adinda Putri;5;15/05/2022 02.29;Bagus,Cocok Buat Belajar Bahasa Bisa Ngelatih kemampuan bahasa Cocok deh
Wigi Anti;5;15/05/2022 02.16;Aplikasi yang bagus sangat membantu .. terutama bagi saya yang belum pernah bisa berbahasa Inggris....
Erny Wahdini;5;15/05/2022 01.43;Aplikasi keren saya suka belajar
Murtadho;4;15/05/2022 01.21;Aplikasi yg membantu belajar bahasa. Mohon tambahkan fitur story untuk bahasa Rusia. Selain itu mohon tambahkan lagi bahasa persia juga.
Rifana Ruby;5;15/05/2022 01.16;Bagus
Al Kr;5;15/05/2022 00.38;Goodddddd job
Deni Romadhon;5;14/05/2022 23.36;good
Ibu Mulyani;5;14/05/2022 23.25;Baguslah kalau dipakai untuk belajar
Farah FA;4;14/05/2022 22.28;Menurut saya aplikasi ini memajukan saya untuk lebih mudah dalam belajar bahasa, tapi aplikasi ini tidak memberi penjelasan pada saat belajar suatu bahasa, disini,, saya beri ratting 4/5
Ujang Ujang;4;14/05/2022 19.29;Keren sangat membantu belajar bahasa asing. kalo ada fitur chat dengan pengguna lain saya kasih 5⭐
andrea hari;5;14/05/2022 17.27;Baik
Ikhwanul Muslimin;5;14/05/2022 16.47;👍
Dian Juliantine;5;14/05/2022 16.18;Nice! Suitable for all beginner or expert.
Rifky bayu;5;14/05/2022 16.13;Thanks for you,,,#duolingo
April;5;14/05/2022 16.10;Good
